lab_id	international_id	avg_coverage	BC	Common_name	BioSample	SampleName
812	AANUSAM000012493607	23.99387	AN	Angus		
816	AANUSAM000009250717	26.86129	AN	Angus		
820	AANUSAM000012346200	22.70903	AN	Angus		
828	AANUSAM000012309327	17.95452	AN	Angus		
837	AANUSAM000013447282	21.3429	AN	Angus		
840	AANUSAM000013062750	15.66613	AN	Angus		
845	AANUSAM000013286246	6.006452	AN	Angus		
851	AANUSAM000011160685	20.07484	AN	Angus		
859	AANUSAM000013207590	26.16645	AN	Angus		
882	AANUSAM000013776378	17.62193	AN	Angus		
883	AANUSAM000013936986	5.296129	AN	Angus		
898	HOLUSAM000001841366	7.977742	HO	Holstein	SAMN02671479	Btau_HOL_0085
909	HOLUSAM000001964484	6.471613	HO	Holstein	SAMN02671480	Btau_HOL_0086
986	HOLUSAM000002026215	3.95	HO	Holstein		
1051	HOLUSAM000002040728	4.02871	HO	Holstein		
1131	HOLUSAM000002070579	18.57839	HO	Holstein	SAMN02671595	Btau_HOL_0058
1180	HOLUSAM000002103297	9.69	HO	Holstein	SAMN02671483	Btau_HOL_0089
1289	HOLUSAM000002231596	15.04097	HO	Holstein		
1315	HOLUSAM000002253170	22.10097	HO	Holstein		
1389	HOLUSAM000002290977	2.510323	HO	Holstein		
1510	HOLUSAM000017056520	4.07	HO	Holstein		
1703	AANUSAM000007147857	6.947419	AN	Angus		
1704	AANUSAM000008505294	18.98194	AN	Angus		
1705	AANUSAM000008593101	21.3171	AN	Angus		
1706	AANUSAM000008890783	21.19193	AN	Angus		
1707	AANUSAM000008989216	20.79452	AN	Angus		
1712	AANUSAM000010373602	15.46258	AN	Angus		
1713	AANUSAM000010398616	6.039355	AN	Angus	SAMN02142984	AANUSAM000010398616
1717	AANUSAM000010776479	14.36032	AN	Angus		
1720	AANUSAM000010848986	19.29097	AN	Angus		
1776	AANUSAM000012798179	17.91548	AN	Angus		
1918	BRMUSAM00000B293259	5.344193	BR	Brahman		
1921	BRMUSAM00000B303920	0.4548387	BR	Brahman		
1923	BRMUSAM00000B358568	4.130645	BR	Brahman		
1926	BRMUSAM00000B669804	0.4090323	BR	Brahman		
1965	AANUSAM000007011424	19.36871	AN	Angus		
1998	AANUSAM000009083399	15.54097	AN	Angus		
2014	AANUSAM000006064368	14.85161	AN	Angus		
2044	AANUSAM000013592905	21.81097	AN	Angus		
2045	AANUSAM000013512009	16.63484	AN	Angus		
2048	AANUSAM000013305978	19.40226	AN	Angus		
2056	AANUSAM000011567326	23.15903	AN	Angus		
2081	HOLUSAM000001667366	5.41871	HO	Holstein		
2089	HOLUSAM000001810969	3.659032	HO	Holstein		
2111	HOLCANM000000363162	9.29129	HO	Holstein	SAMN02671454	Btau_HOL_0060
2112	HOLUSAM000001983348	7.311613	HO	Holstein	SAMN02671481	Btau_HOL_0087
2133	HOLUSAM000002147486	1.962903	HO	Holstein		
2160	HOLFRAM002991000305	33.74807	HO	Holstein	SAMN02671589	Btau_HOL_0052
2160	HOLFRAM002991000305	33.74807	HO	Holstein	SAMN02671615	Btau_HOL_0105
2162	HOLNLDM000839380546	7.823226	HO	Holstein	SAMN02671676	Btau_HOL_0123
2164	HOLCANM000000352790	38.26161	HO	Holstein	SAMN02671584	Btau_HOL_0047
2164	HOLCANM000000352790	38.26161	HO	Holstein	SAMN02671612	Btau_HOL_0102
2170	AANUSAM000011160688	6.775806	AN	Angus		
2378	AANUSAM000002677295	6.465161	AN	Angus	SAMN02142987	AANUSAM000002677295
2396	AANUSAM000005221298	21.56258	AN	Angus		
2406	UMCUSAM000000002406	22.54645	BB	400-RRS bison samples		
2991	BRMUSAM00000B669048	2.651936	BR	Brahman		
3002	BRMUSAM00000B747400	0.8990322	BR	Brahman		
3009	BRMUSAM00000B743695	5.214516	BR	Brahman		
3014	BRMUSAM00000B378475	6.790323	BR	Brahman		
3037	BRMUSAM00000B694590	5.399677	BR	Brahman		
3048	AANUSAM000009506886	20.75645	AN	Angus		
3076	AANUSAM000013320150	5.246774	AN	Angus		
3104	AANUSAM000009682589	17.99032	AN	Angus		
3202	UMCUSAM000000003202	0.423871	AN	Angus		
4425	AANUSAM000007187001	21.89935	AN	Angus		
4502	HOLCANM000000343514	16.61129	HO	Holstein	SAMN02671583	Btau_HOL_0046
4517	AANUSAM000012665222	16.39097	AN	Angus		
4522	AANUSAM000010095639	21.5229	AN	Angus		
4609	AANUSAM000004285114	30.11065	AN	Angus		
4631	AANUSAM000009690653	21.73839	AN	Angus		
4952	AANUSAM000007501542	15.19	AN	Angus		
6606	HOLUSAM000002041271	1.319355	HO	Holstein		
6980	HOLCANM000006766724	19.02387	HO	Holstein		
7092	AANUSAM000002719761	5.877419	AN	Angus	SAMN02142983	AANUSAM000002719761
7142	AANUSAM000011563543	4.743871	AN	Angus		
7380	LIMUSAM000000CFM179	5.728387	LM	Limousin		
7397	LIMUSAM000NPM802417	4.359355	LM	Limousin		
7414	LIMUSAM00NPM1718188	4.242258	LM	Limousin		
7427	LIMUSAM00NPM1458543	5.197742	LM	Limousin		
7432	LIMUSAM00NPM1389672	0.3477419	LM	Limousin		
7436	LIMUSAM000000CIM918	6.233226	LM	Limousin		
7440	LIMUSAM000NPM729432	8.256129	LM	Limousin		
7442	LIMUSAM000000CIM895	0.6235484	LM	Limousin		
7445	AANUSAM000014056739	24.83774	AN	Angus		
7713	LIMUSAM00NPM1398573	8.227419	LM	Limousin		
7744	LIMUSAm00NFM1022080	0.1332258	LM	Limousin		
18336	LIMUSAM0000000CIM51	20.66806	LM	Limousin		
18346	LIMUSAM00000000NIM3	19.05387	LM	Limousin		
18366	SIMUSAM000001308819	10.76032	SIM	Simmental	SAMN02941222	SIMUSAM000001308819
18369	SIMUSAM000001600900	10.29774	SIM	Simmental	SAMN02941190	SIMUSAM000001600900
18394	HOLUSAM000001980278	21.24226	HO	Holstein		
18395	HOLUSAM000002030882	2.244194	HO	Holstein		
18474	HOLUSAM000002282662	17.4771	HO	Holstein		
18476	HOLUSAM000002282977	32.19194	HO	Holstein		
18490	HOLUSAM000002284985	5.060968	HO	Holstein		
18557	HOLUSAM000002289254	17.47129	HO	Holstein		
18682	HOLUSAM000002299023	29.09419	HO	Holstein		
19020	HOLUSAM000017302940	16.57968	HO	Holstein		
19225	HOLUSAM000120754720	2.39	HO	Holstein		
19423	HOLUSAM000131625976	17.45548	HO	Holstein		
19599	HOLUSAM000133507195	29.76903	HO	Holstein		
19628	HOLUSAM000133942288	21.64194	HO	Holstein		
20079	UMCUSAM000000020079	24.00839	BB	400-RRS bison samples		
20087	UMCUSAM000000020087	22.16839	BB	400-RRS bison samples		
20098	UMCUSAM000000020098	23.74581	BB	400-RRS bison samples		
20172	UMCUSAM000000020172	23.98387	BB	400-RRS bison samples		
20809	CHAUSAM00000M246564	20.07516	CHA	Charolais		
20823	CHAUSAM00000M411450	19.50871	CHA	Charolais		
20825	CHAUSAM00000M234430	18.65419	CHA	Charolais		
20826	CHAUSAM00000M319454	19.16129	CHA	Charolais		
20829	CHAUSAM00000M318119	14.42871	CHA	Charolais		
20830	HERUSAM000019587707	23.97	HFD	Hereford		
20843	HERUSAM000018950672	17.89194	HFD	Hereford		
20862	SIMUSAM000001140615	16.16936	SIM	Simmental		
20867	SIMUSAM000001425514	16.74548	SIM	Simmental		
20872	SIMUSAM000001716917	11.60129	SIM	Simmental	SAMN02941191	SIMUSAM000001716917
20878	SIMUSAM000001884316	11.30839	SIM	Simmental	SAMN02941194	SIMUSAM000001884316
20894	SIMUSAM000002081939	11.97097	SIM	Simmental	SAMN02941199	SIMUSAM000002081939
20912	CHAUSAM00000M297007	16.86419	CHA	Charolais		
22009	HOLCANM000006407860	17.99936	HO	Holstein		
22049	HOLCANM000006502276	22.46839	HO	Holstein		
22111	HOLCANM000006859988	36.32968	HO	Holstein		
22163	HOLNLDM000159659261	8.930323	HO	Holstein	SAMN02671486	Btau_HOL_0092
22168	HOLUSAM000001537060	3.191936	HO	Holstein		
22184	HOLUSAM000002005253	15.03548	HO	Holstein	SAMN02671594	Btau_HOL_0057
22224	HOLUSAM000002281514	17.55161	HO	Holstein		
22448	HOLUSAM000131062940	26.91064	HO	Holstein		
22640	HOLCANM000006591171	16.87581	HO	Holstein		
22641	HOLCANM000006705628	21.13807	HO	Holstein		
22726	HOLDEUM000341937669	21.17323	HO	Holstein		
22856	HOLCANM000007359053	17.81742	HO	Holstein		
22908	HOLDEUM000341037501	1.504516	HO	Holstein		
23048	HOLUSAM000002266677	3.663548	HO	Holstein		
23085	HOLCANM000006532013	20.66774	HO	Holstein		
23150	HOLUSAM000017337322	17.57032	HO	Holstein		
23200	HOLUSAM000017349617	7.50742	HO	Holstein		
23307	HOLUSAM000123784506	38.76903	HO	Holstein		
23574	HOLUSAM000126205242	14.32	HO	Holstein		
23732	HOLUSAM000129800008	7.300645	HO	Holstein	SAMN02671485	Btau_HOL_0091
23737	HOLUSAM000130263722	18.46677	HO	Holstein		
24004	HOLUSAM000133749719	21.16742	HO	Holstein		
24031	HOLUSAM000135747713	30.43194	HO	Holstein		
24045	HOLUSAM000137407563	20.14	HO	Holstein		
24612	HOLUSAM000138375612	33.50968	HO	Holstein		
27164	HOLUSAM000001244845	2.021935	HO	Holstein		
27175	HOLCANM000000308691	12.51355	HO	Holstein	SAMN02671582	Btau_HOL_0045
27249	HOLUSAM000002294967	15.11516	HO	Holstein		
27422	BSHUSAM000003411494	21.80194	SH	Shorthorn		
32028	AANUSAM000013880818	9.507742	AN	Angus		
32029	AANUSAM000014419184	5.867097	AN	Angus		
32065	AANUSAM000013739532	24.4271	AN	Angus		
32103	AANUSAM000014844711	20.66613	AN	Angus		
32107	AANUSAM000013728513	19.67871	AN	Angus		
32134	AANUSAM000015148659	5.662258	AN	Angus		
32138	AANUSAM000014691231	17.9829	AN	Angus		
32142	AANUSAM000014725035	14.17742	AN	Angus		
32157	AANUSAM000014739204	35.95968	AN	Angus		
32159	AANUSAM000014963730	16.44548	AN	Angus		
32817	SIMUSAM000001818026	9.673871	SIM	Simmental	SAMN02941193	SIMUSAM000001818026
33078	BSHUSAM000003309122	13.58355	SH	Shorthorn		
33533	UMCUSAU000000033533	3.535161	GIR	Gir		
33534	UMCUSAF000000033534	6.889678	GIR	Gir		
33537	UMCUSAM000000033537	10.25645	GIR	Gir		
33538	UMCUSAU000000033538	2.59	GIR	Gir		
33539	UMCUSAF000000033539	9.361936	GIR	Gir		
33540	UMCUSAM000000033540	5.02742	GIR	Gir		
33604	HERUSAF000042190680	45.48129	HFD	Hereford		
33674	UMCUSAF000000033674	2.997419	JER	Jersey		
33675	UMCUSAU000000033675	6.122581	JER	Jersey		
33676	UMCUSAM000000033676	3.737742	JER	Jersey		
33677	UMCUSAU000000033677	4.95129	JER	Jersey		
33678	UMCUSAM000000033678	1.931935	JER	Jersey		
33681	UMCUSAM000000033681	11.62871	JER	Jersey		
33682	UMCUSAM000000033682	3.086129	JER	Jersey		
33683	UMCUSAU000000033683	3.207742	JER	Jersey		
33749	UMCUSAF000000033749	16.36258	NDAM	Ndama		
33772	UMCUSAU000000033772	5.76871	NEL	Nelore		
33775	UMCUSAU000000033775	4.393871	NEL	Nelore		
33778	UMCUSAU000000033778	4.372258	NEL	Nelore		
33780	UMCUSAU000000033780	5.713871	NEL	Nelore		
33781	UMCUSAU000000033781	4.694516	NEL	Nelore		
33783	UMCUSAF000000033783	1.595161	NEL	Nelore		
33784	UMCUSAU000000033784	7.715806	NEL	Nelore		
33794	UMCUSAU000000033794	3.974839	NEL	Nelore		
33841	UMCUSAU000000033841	4.230645	RMG	Romagnola		
33844	UMCUSAU000000033844	8.151936	RMG	Romagnola		
33845	UMCUSAU000000033845	6.077419	RMG	Romagnola		
33846	UMCUSAU000000033846	5.39	RMG	Romagnola		
33936	GVHUSAM000000405990	18.92452	GEL	Gelbvieh		
33958	GVHUSAM000000805882	11.30871	GEL	Gelbvieh	SAMN02843074	GVHUSAM00AMGV805882
33980	GVHUSAM000000477661	19.80065	GEL	Gelbvieh		
34019	GVHUSAM000000375086	6.225806	GEL	Gelbvieh	SAMN01915344	GVHUSAM00AMGV375086
34035	GVHUSAM000000067784	17.62484	GEL	Gelbvieh		
34039	GVHUSAM000000160135	19.47065	GEL	Gelbvieh		
34047	GVHUSAM000000268185	19.54742	GEL	Gelbvieh		
34072	GVHUSAM000000000024	19.47484	GEL	Gelbvieh		
34092	GVHUSAM000000003005	18.98774	GEL	Gelbvieh		
34095	GVHUSAM000000000038	19.95323	GEL	Gelbvieh		
34122	AANUSAM000015109865	19.79161	AN	Angus		
34139	AANUSAM000015840414	19.76742	AN	Angus		
34150	RANUSAM000000566636	12.20871	ANR	Red Angus		
34164	RANUSAM000000832407	4.401936	ANR	Red Angus		
34213	HERUSAM000042016383	20.47484	HFD	Hereford		
34231	SIMUSAM000001907954	10.98355	SIM	Simmental	SAMN02941195	SIMUSAM000001907954
34236	SIMUSAM000002002092	11.11161	SIM	Simmental	SAMN02941196	SIMUSAM000002002092
35808	HOLNLDM000295614274	20.38742	HO	Holstein		
47325	HOLUSAM000122358313	4.298387	HO	Holstein		
47332	HOLUSAM000123586443	21.66	HO	Holstein		
47333	HOLFRAM005694028588	15.47097	HO	Holstein	SAMN02671590	Btau_HOL_0053
47333	HOLFRAM005694028588	15.47097	HO	Holstein	SAMN02671623	Btau_HOL_0113
47361	HOLCANM000010705608	13.04129	HO	Holstein	SAMN02671587	Btau_HOL_0050
47371	HOLGBRM000000598172	3.910968	HO	Holstein		
47381	HOLDEUM000000253642	2.684194	HO	Holstein		
47389	HOLNLDM000339291027	9.351291	HO	Holstein	SAMN02671489	Btau_HOL_0095
47404	HOLUSAM000060597003	7.974194	HO	Holstein	SAMN02671484	Btau_HOL_0090
48994	AANUSAM000014959541	19.17548	AN	Angus		
49042	AANUSAM000009586830	6.800323	AN	Angus		
49060	AANUSAM000016124994	17.57194	AN	Angus		
49855	AANUSAU000015330743	19.24581	AN	Angus		
49866	AANUSAU000015354674	20.3129	AN	Angus		
49922	AANUSAU000015899735	18.3729	AN	Angus		
51233	AANUSAM000005770651	21.96129	AN	Angus		
51239	AANUSAM000007530738	21.59419	AN	Angus		
51368	HERUSAM000024020737	18.07742	HFD	Hereford		
51392	HERUSAM000041113279	14.41258	HFD	Hereford		
51501	HERUSAM000040007386	15.52419	HFD	Hereford		
51516	HERUSAM000042651231	19.74839	HFD	Hereford		
52443	RDPUSAM000000000048	18.07129	MAAN	Maine Anjou		
69621	HERUSAM000042361822	14.10258	HFD	Hereford		
69626	RANUSAM000000574873	6.360322	ANR	Red Angus		
69632	HERUSAU000015587538	6.155807	HFD	Hereford	SAMN02142996	HERUSAM000015587538
69767	HERUSAM000023312912	18.22032	HFD	Hereford		
69898	HERUSAM000042196682	18.19097	HFD	Hereford		
69936	HERUSAM000042481042	19.4171	HFD	Hereford		
69958	HERUSAM000042584003	19.84742	HFD	Hereford		
71407	SIMUSAM000000000010	19.53484	SIM	Simmental		
71411	SIMUSAM000000006110	21.01903	SIM	Simmental		
71415	SIMUSAM000000058311	19.56645	SIM	Simmental		
71420	SIMUSAM000000006084	18.94	SIM	Simmental		
71424	SIMUSAM000000901761	11.78613	SIM	Simmental	SAMN02941229	SIMUSAM000000901761
71425	SIMUSAM000001937373	19.05613	SIM	Simmental		
71553	SIMUSAM000002044500	10.28774	SIM	Simmental	SAMN02941197	SIMUSAM000002044500
71619	SIMUSAM000001791082	9.630322	SIM	Simmental	SAMN02941192	SIMUSAM000001791082
71627	SIMUSAM000002144976	18.32936	SIM	Simmental		
71657	SIMUSAM000000000001	24.49226	SIM	Simmental		
71658	SIMUSAM000000000369	19.44193	SIM	Simmental		
71670	SIMUSAM000000320938	16.96677	SIM	Simmental		
71723	SIMUSAM000002289889	11.09548	SIM	Simmental	SAMN02941201	SIMUSAM000002289889
72071	SIMUSAM000002068996	11.10032	SIM	Simmental	SAMN02941198	SIMUSAM000002068996
72124	SIMUSAM000002240471	13.16129	SIM	Simmental	SAMN02941225	SIMUSAM000002240471
78648	UMCUSAM000000078648	8.885806	HO	Holstein		
78757	UMCUSAF000000078757	9.488387	HO	Holstein		
78773	UMCUSAF000000078773	8.974838	HO	Holstein		
78827	UMCUSAF000000078827	8.994516	HO	Holstein		
78836	UMCUSAM000000078836	9.224516	HO	Holstein		
78853	UMCUSAM000000078853	8.618387	HO	Holstein		
79050	UMCUSAF000000079050	8.400968	HO	Holstein		
79160	UMCUSAM000000079160	9.332258	HO	Holstein		
79488	UMCUSAM000000079488	9.179032	HO	Holstein		
79863	UMCUSAM000000079863	9.624516	HO	Holstein		
79971	UMCUSAM000000079971	9.530323	HO	Holstein		
80134	UMCUSAF000000080134	9.55742	HO	Holstein		
80163	UMCUSAM000000080163	9.343549	HO	Holstein		
80421	UMCUSAF000000080421	8.996774	HO	Holstein		
80427	UMCUSAM000000080427	8.676129	HO	Holstein		
80609	UMCUSAM000000080609	8.614839	HO	Holstein		
80636	UMCUSAF000000080636	8.508388	HO	Holstein		
82366	UMCUSAU000000082366	9.494193	HO	Holstein		
85977	UMCUSAU000000085977	7.882581	HANW	Hanwoo Korean cattle		
85978	UMCUSAU000000085978	7.621935	BR	Brahman		
86416	BMAUSAM00000C907807	20.39935	BEFM	Beefmaster		
86417	BMAUSAM00000C977252	19.35774	BEFM	Beefmaster		
86418	BMAUSAM00000C988569	17.34936	BEFM	Beefmaster		
86419	BMAUSAM00000C931489	17.72806	BEFM	Beefmaster		
86420	BMAUSAM00000C955210	18.79419	BEFM	Beefmaster		
86421	BMAUSAM00000C930530	16.73936	BEFM	Beefmaster		
86422	BMAUSAM00000C919125	17.87419	BEFM	Beefmaster		
86423	BMAUSAM00000C841270	19.63452	BEFM	Beefmaster		
86424	BMAUSAM00000C955655	19.92	BEFM	Beefmaster		
86425	BMAUSAM00000C954708	19.98968	BEFM	Beefmaster		
86883	UMCUSAF000000086883	8.383225	HO	Holstein		
86953	UMCUSAF000000086953	8.514516	HO	Holstein		
86954	UMCUSAF000000086954	8.123871	HO	Holstein		
86956	UMCUSAF000000086956	7.808387	HO	Holstein		
87024	UMCUSAF000000087024	7.773549	HO	Holstein		
87089	UMCUSAF000000087089	8.107419	HO	Holstein		
87104	UMCUSAF000000087104	8.61258	HO	Holstein		
87174	UMCUSAF000000087174	7.882581	HO	Holstein		
87267	UMCUSAF000000087267	7.961613	HO	Holstein		
87309	UMCUSAF000000087309	8.251613	HO	Holstein		
87335	UMCUSAF000000087335	8.173871	HO	Holstein		
87398	UMCUSAF000000087398	8.148065	HO	Holstein		
87926	AANUSAM000016447771	18.89258	AN	Angus		
87927	HERUSAM000014661058	17.85194	HFD	Hereford		
87930	HERUSAM000042800895	16.91129	HFD	Hereford		
87931	HERUSAM000042593689	17.25742	HFD	Hereford		
87932	HERUSAM000023697677	18.39839	HFD	Hereford		
87954	UMCUSAM000000087954	15.04129	HFD	Hereford		
87955	HERUSAM000042669011	14.9671	HFD	Hereford		
87957	RDPUSAM000000000011	22.18968	MAAN	Maine Anjou		
87958	RDPUSAM000000294939	13.83452	MAAN	Maine Anjou		
87959	RDPUSAM000000169334	22.65839	MAAN	Maine Anjou		
87960	RDPUSAM000000307184	21.65613	MAAN	Maine Anjou		
87961	RDPUSAM000000165744	16.87871	MAAN	Maine Anjou		
88651	HOLUSAU000001903604	1.935161	HO	Holstein		
88652	HOLUSAU000001417390	2.691613	HO	Holstein		
88653	HOLUSAU000001672325	2.027742	HO	Holstein		
88654	HOLUSAU000001447141	1.338065	HO	Holstein		
88655	HOLUSAU000017062963	3.710968	HO	Holstein		
88668	UMCUSAU000000088668	17.77645	AN	Angus		
88669	UMCUSAU000000088669	13.86387	AN	Angus		
88671	UMCUSAU000000088671	19.23516	AN	Angus		
88972	UMCUSAU000000088972	19.18	AN	Angus		
88973	UMCUSAU000000088973	15.95258	AN	Angus		
88974	UMCUSAU000000088974	18.05871	AN	Angus		
88975	UMCUSAU000000088975	18.51064	AN	Angus		
88976	UMCUSAU000000088976	17.35677	AN	Angus		
88977	UMCUSAU000000088977	17.00613	AN	Angus		
88978	UMCUSAU000000088978	18.94032	AN	Angus		
88990	AANUSAM000005475692	19.96968	AN	Angus		
89504	CHAUSAM00000M434790	19.74774	CHA	Charolais		
89505	CHAUSAM00000M314744	17.10484	CHA	Charolais		
89506	CHAUSAM00000M225504	19.14645	CHA	Charolais		
89507	CHAUSAM00000M231620	17.05226	CHA	Charolais		
89508	CHAUSAM000VPM122718	19.89032	CHA	Charolais		
89527	AANUSAM000011833725	20.22	AN	Angus		
91166	AANUSAU000006639770	8.95258	AN	Angus		
91167	AANUSAU000011261777	5.406129	AN	Angus		
91168	RANUSAM000000904822	7.744839	ANR	Red Angus		
91169	RANUSAM000000128766	12.64065	ANR	Red Angus		
91170	RANUSAM000000438816	13.51839	ANR	Red Angus		
91171	RANUSAM000000802442	5.302581	ANR	Red Angus		
91172	RANUSAM000000601995	8.923225	ANR	Red Angus		
91173	RANUSAM000000299558	14.19613	ANR	Red Angus		
91174	RANUSAM000000794957	5.825807	ANR	Red Angus		
91175	RANUSAM000000001267	12.79484	ANR	Red Angus		
91176	RANUSAM000000013072	4.945807	ANR	Red Angus		
91177	RANUSAM000000372629	6.413226	ANR	Red Angus		
91178	RANUSAM000000859497	5.743548	ANR	Red Angus		
92750	UMCUSAM000000092750	8.570645	CHA	Charolais		
92764	UMCUSAU000000092764	5.829678	Bbub	Water buffalo		
92765	UMCUSAU000000092765	6.948064	Bbub	Water buffalo		
92766	UMCUSAU000000092766	6.444193	Bbub	Water buffalo		
92767	UMCUSAU000000092767	7.224194	Bbub	Water buffalo		
92768	UMCUSAU000000092768	5.78	Bbub	Water buffalo		
92769	UMCUSAU000000092769	2.948065	Bbub	Water buffalo		
92770	UMCUSAU000000092770	7.17129	Bbub	Water buffalo		
92771	UMCUSAU000000092771	6.246451	Bbub	Water buffalo		
92773	UMCUSAU000000092773	5.629677	Bbub	Water buffalo		
92774	UMCUSAU000000092774	5.313871	Bbub	Water buffalo		
92775	UMCUSAU000000092775	5.330968	Bbub	Water buffalo		
92776	UMCUSAU000000092776	5.346129	Bbub	Water buffalo		
92777	UMCUSAU000000092777	3.353548	Bbub	Water buffalo		
92778	UMCUSAU000000092778	5.889678	Bbub	Water buffalo		
92781	UMCUSAU000000092781	0.8554839	Bbub	Water buffalo		
92782	UMCUSAU000000092782	1.159355	Bbub	Water buffalo		
92783	UMCUSAU000000092783	2.847419	Bbub	Water buffalo		
92784	UMCUSAU000000092784	2.303226	Bbub	Water buffalo		
92785	UMCUSAU000000092785	1.007742	Bbub	Water buffalo		
92786	UMCUSAU000000092786	1.468065	Bbub	Water buffalo		
92787	UMCUSAU000000092787	1.116129	Bbub	Water buffalo		
92788	UMCUSAU000000092788	2.442903	Bbub	Water buffalo		
92789	UMCUSAU000000092789	0.8245161	Bbub	Water buffalo		
92790	UMCUSAU000000092790	0.8335484	Bbub	Water buffalo		
92791	UMCUSAU000000092791	2.656452	Bbub	Water buffalo		
92792	UMCUSAU000000092792	1.68129	Bbub	Water buffalo		
92793	UMCUSAU000000092793	3.126774	Bbub	Water buffalo		
92794	UMCUSAU000000092794	2.619355	Bbub	Water buffalo		
92795	UMCUSAU000000092795	3.629032	Bbub	Water buffalo		
92796	UMCUSAU000000092796	1.488387	Bbub	Water buffalo		
92797	UMCUSAU000000092797	2.893548	Bbub	Water buffalo		
92798	UMCUSAU000000092798	0.9332258	Bbub	Water buffalo		
92800	UMCUSAU000000092800	2.568387	Bbub	Water buffalo		
92801	UMCUSAU000000092801	1.322581	Bbub	Water buffalo		
92802	UMCUSAU000000092802	2.317742	Bbub	Water buffalo		
92803	UMCUSAU000000092803	1.715484	Bbub	Water buffalo		
92804	UMCUSAU000000092804	2.659355	Bbub	Water buffalo		
92805	UMCUSAU000000092805	2.055806	Bbub	Water buffalo		
92806	UMCUSAU000000092806	1.007419	Bbub	Water buffalo		
92807	UMCUSAU000000092807	1.796129	Bbub	Water buffalo		
92808	UMCUSAU000000092808	2.713548	Bbub	Water buffalo		
92809	UMCUSAU000000092809	2.489032	Bbub	Water buffalo		
92810	UMCUSAU000000092810	2.457097	Bbub	Water buffalo		
92811	UMCUSAU000000092811	2.193226	Bbub	Water buffalo		
92812	UMCUSAU000000092812	2.409678	Bbub	Water buffalo		
92813	UMCUSAU000000092813	2.073871	Bbub	Water buffalo		
92814	UMCUSAU000000092814	2.442258	Bbub	Water buffalo		
92815	UMCUSAU000000092815	2.75871	Bbub	Water buffalo		
92816	UMCUSAU000000092816	0.9709678	Bbub	Water buffalo		
92817	UMCUSAU000000092817	3.774194E-02	Bbub	Water buffalo		
92818	UMCUSAU000000092818	1.131613	Bbub	Water buffalo		
92819	UMCUSAU000000092819	1.06129	Bbub	Water buffalo		
92820	UMCUSAU000000092820	0.336129	Bbub	Water buffalo		
92821	UMCUSAU000000092821	0.333871	Bbub	Water buffalo		
92822	UMCUSAU000000092822	0.256129	Bbub	Water buffalo		
92823	UMCUSAU000000092823	1.315807	Bbub	Water buffalo		
92825	UMCUSAU000000092825	1.57	Bbub	Water buffalo		
92835	UMCUSAU000000092835	1.716129	Bbub	Water buffalo		
92836	UMCUSAF000000092836	8.132581	bbub	Water buffalo		
92837	UMCUSAM000000092837	9.507097	Bbub	Water buffalo		
92838	UMCUSAM000000092838	8.754193	Bbub	Water buffalo		
