lab_id,international_id,sex,bio_sample,population,region,continent,species,avg_coverage,owner
33674,UMCUSAF000000033674,F,,jersey,continental europe,europe,bos taurus,3.1386206896551725,
33675,UMCUSAM000000033675,M,,jersey,continental europe,europe,bos taurus,6.4013793103448275,
33676,UMCUSAM000000033676,M,,jersey,continental europe,europe,bos taurus,3.912413793103448,
33677,UMCUSAM000000033677,M,,jersey,continental europe,europe,bos taurus,5.2331034482758625,
33678,UMCUSAM000000033678,M,,jersey,continental europe,europe,bos taurus,2.0268965517241377,
33681,UMCUSAM000000033681,M,,jersey,continental europe,europe,bos taurus,12.18,
33682,UMCUSAM000000033682,M,,jersey,continental europe,europe,bos taurus,3.228965517241379,
33683,UMCUSAM000000033683,M,,jersey,continental europe,europe,bos taurus,3.3589655172413795,
33749,UMCUSAF000000033749,F,,n'dama,west africa,africa,bos taurus,16.942413793103448,
33772,UMCUSAU000000033772,,,nelore,americas,americas,bos indicus,6.036551724137931,
33775,UMCUSAF000000033775,F,,nelore,americas,americas,bos indicus,4.5986206896551725,
33778,UMCUSAU000000033778,,,nelore,americas,americas,bos indicus,4.575862068965518,
33780,UMCUSAM000000033780,M,,nelore,americas,americas,bos indicus,5.979310344827586,
33781,UMCUSAM000000033781,M,,nelore,americas,americas,bos indicus,4.9062068965517245,
33783,UMCUSAF000000033783,F,,nelore,americas,americas,bos indicus,1.6693103448275861,
33784,UMCUSAM000000033784,M,,nelore,americas,americas,bos indicus,7.965862068965517,
33794,UMCUSAM000000033794,M,,nelore,americas,americas,bos indicus,4.15896551724138,
33841,UMCUSAM000000033841,M,,romagnola,italy,europe,bos taurus,4.425862068965517,
33844,UMCUSAM000000033844,M,,romagnola,italy,europe,bos taurus,8.530344827586207,
33845,UMCUSAM000000033845,M,,romagnola,italy,europe,bos taurus,6.357241379310345,
33846,UMCUSAM000000033846,M,,romagnola,italy,europe,bos taurus,5.6403448275862065,
33936,GVHUSAM000000405990,M,,gelbvieh,continental europe,europe,bos taurus,19.811379310344826,
33958,GVHUSAM000000805882,M,SAMN02843074,gelbvieh,continental europe,europe,bos taurus,11.90793103448276,"Livestock Gentec, University of Alberta"
33980,GVHUSAM000000477661,M,,gelbvieh,continental europe,europe,bos taurus,20.72206896551724,
34019,GVHUSAM000000375086,M,SAMN01915344,gelbvieh,continental europe,europe,bos taurus,6.510689655172413,"Livestock Gentec, University of Alberta"
34035,GVHUSAM000000067784,M,,gelbvieh,continental europe,europe,bos taurus,18.441724137931036,
34039,GVHUSAM000000160135,M,,gelbvieh,continental europe,europe,bos taurus,20.37206896551724,
34047,GVHUSAM000000268185,M,,gelbvieh,continental europe,europe,bos taurus,20.459655172413793,
34072,GVHUSAM000000000024,M,,gelbvieh,continental europe,europe,bos taurus,20.381724137931034,
34092,GVHUSAM000000003005,M,,gelbvieh,continental europe,europe,bos taurus,19.9,
34095,GVHUSAM000000000038,M,,gelbvieh,continental europe,europe,bos taurus,20.880689655172414,
34122,AANUSAM000015109865,M,,angus,british isles,europe,bos taurus,20.76137931034483,
34139,AANUSAM000015840414,M,,angus,british isles,europe,bos taurus,20.717241379310344,
34150,RANUSAM000000566636,M,,angus,british isles,europe,bos taurus,12.779655172413793,
34164,RANUSAM000000832407,M,,angus,british isles,europe,bos taurus,4.610344827586207,
34213,HERUSAM000042016383,M,,hereford,british isles,europe,bos taurus,21.49586206896552,
34231,SIMUSAM000001907954,M,SAMN02941195,simmental,continental europe,europe,bos taurus,11.501379310344827,"Livestock Gentec, University of Alberta"
34236,SIMUSAM000002002092,M,SAMN02941196,simmental,continental europe,europe,bos taurus,11.632068965517242,"Livestock Gentec, University of Alberta"
47325,HOLUSAM000122358313,M,,holstein,continental europe,europe,bos taurus,4.497931034482758,
47333,HOLFRAM005694028588,M,SAMN02671590,holstein,continental europe,europe,bos taurus,16.18413793103448,Department of Environment and Primary Industries
47361,HOLCANM000010705608,M,SAMN02671587,holstein,continental europe,europe,bos taurus,13.685862068965518,Department of Environment and Primary Industries
47381,HOLDEUM000000253642,M,,holstein,continental europe,europe,bos taurus,2.8106896551724136,
47389,HOLNLDM000339291027,M,SAMN02671489,holstein,continental europe,europe,bos taurus,9.792758620689655,Department of Environment and Primary Industries
47391,HOLUSAM000132967734,M,42274163,holstein,continental europe,europe,bos taurus,10.068275862068965,
47404,HOLUSAM000060597003,M,SAMN02671484,holstein,continental europe,europe,bos taurus,8.349310344827586,Department of Environment and Primary Industries
48994,AANUSAM000014959541,M,,angus,british isles,europe,bos taurus,2.4720689655172414,
49042,AANUSAM000009586830,M,,angus,british isles,europe,bos taurus,7.127931034482758,
49060,AANUSAM000016124994,M,,angus,british isles,europe,bos taurus,18.40896551724138,
49855,AANUSAM000015330743,M,,angus,british isles,europe,bos taurus,20.14896551724138,
49866,AANUSAM000015354674,M,,angus,british isles,europe,bos taurus,21.268620689655172,
49922,AANUSAM000015899735,M,,angus,british isles,europe,bos taurus,19.24,
51087,SALUSAM000000602583,M,602583,salers,france,europe,bos taurus,25.258275862068967,
51089,SALUSAM000000617749,M,617749,salers,france,europe,bos taurus,22.105172413793102,
51094,SALUSAM000000P51676,M,P51676,salers,france,europe,bos taurus,23.93,
51095,SALUSAM000000P62273,M,P62273,salers,france,europe,bos taurus,22.676206896551726,
51103,SALUSAM0000TP520990,M,TP520990,salers,france,europe,bos taurus,23.53655172413793,
51124,SALUSAM000000P31309,M,P31309,salers,france,europe,bos taurus,26.115172413793104,
51125,SALUSAM000000P49475,M,P49475,salers,france,europe,bos taurus,23.666206896551724,
51233,AANUSAM000005770651,M,,angus,british isles,europe,bos taurus,23.00758620689655,
51239,AANUSAM000007530738,M,,angus,british isles,europe,bos taurus,22.63,
51368,HERUSAM000024020737,M,,hereford,british isles,europe,bos taurus,18.92551724137931,
51392,HERUSAM000041113279,M,,hereford,british isles,europe,bos taurus,15.094827586206897,
51501,HERUSAM000040007386,M,,hereford,british isles,europe,bos taurus,16.25896551724138,
51516,HERUSAM000042651231,M,,hereford,british isles,europe,bos taurus,20.67206896551724,
52443,RDPUSAM000000000048,M,,maine-anjou,france,europe,bos taurus,18.922758620689656,
69621,HERUSAM000042361822,M,,hereford,british isles,europe,bos taurus,14.774827586206897,
69626,RANUSAM000000574873,M,,angus,british isles,europe,bos taurus,6.652068965517241,
69632,HERUSAM000015587538,M,SAMN02142996,hereford,british isles,europe,bos taurus,6.438965517241379,"Livestock Gentec, University of Alberta"
69748,HERUSAM000021219843,M,21219843,hereford,british isles,europe,bos taurus,5.6082758620689654,
69767,HERUSAM000023312912,M,,hereford,british isles,europe,bos taurus,19.07758620689655,
69898,HERUSAM000042196682,M,,hereford,british isles,europe,bos taurus,19.037241379310345,
69936,HERUSAM000042481042,M,,hereford,british isles,europe,bos taurus,20.326896551724136,
69958,HERUSAM000042584003,M,,hereford,british isles,europe,bos taurus,20.779310344827586,
71407,SIMUSAM000000000010,M,,simmental,continental europe,europe,bos taurus,11.493793103448276,
71411,SIMUSAM000000006110,M,,simmental,continental europe,europe,bos taurus,21.993103448275864,
71415,SIMUSAM000000058311,M,,simmental,continental europe,europe,bos taurus,20.50413793103448,
71420,SIMUSAM000000006084,M,,simmental,continental europe,europe,bos taurus,19.852758620689656,
71424,SIMUSAM000000901761,M,SAMN02941229,simmental,continental europe,europe,bos taurus,12.34,"Livestock Gentec, University of Alberta"
71425,SIMUSAM000001937373,M,,simmental,continental europe,europe,bos taurus,19.954827586206896,
71468,SIMUSAM000002294262,M,29SM0390,simmental,continental europe,europe,bos taurus,10.230689655172414,
71553,SIMUSAM000002044500,M,SAMN02941197,simmental,continental europe,europe,bos taurus,10.769310344827586,"Livestock Gentec, University of Alberta"
71619,SIMUSAM000001791082,M,SAMN02941192,simmental,continental europe,europe,bos taurus,10.083448275862068,"Livestock Gentec, University of Alberta"
71627,SIMUSAM000002144976,M,,simmental,continental europe,europe,bos taurus,19.179655172413792,
71657,SIMUSAM000000000001,M,,simmental,continental europe,europe,bos taurus,25.633793103448276,
71658,SIMUSAM000000000369,M,,simmental,continental europe,europe,bos taurus,20.35896551724138,
71670,SIMUSAM000000320938,M,,simmental,continental europe,europe,bos taurus,17.751724137931035,
71723,RANUSAM000003358146,M,SAMN02941201,simmental,continental europe,europe,bos taurus,11.605172413793104,"Livestock Gentec, University of Alberta"
71827,BSHUSAM000004023444,M,*x4023444,shorthorn,british isles,europe,bos taurus,25.927586206896553,
71830,BSHUSAM000004144656,M,x4144656,shorthorn,british isles,europe,bos taurus,20.34241379310345,
71851,BSHUSAM000003723191,M,3723191,shorthorn,british isles,europe,bos taurus,22.92448275862069,
71852,BSHUSAM000003866790,M,*x3866790,shorthorn,british isles,europe,bos taurus,25.94896551724138,
71853,BSHUSAM000003885372,M,*x3885372,shorthorn,british isles,europe,bos taurus,25.88655172413793,
71860,BSHUSAM000003874207,M,*x3874207,shorthorn,british isles,europe,bos taurus,26.305172413793102,
71897,BSHUSAM000003870174,M,*x3870174,shorthorn,british isles,europe,bos taurus,23.474827586206896,
71898,BSHUSAM000004099774,M,*x4099774,shorthorn,british isles,europe,bos taurus,25.902758620689657,
71904,BSHUSAM000003776038,M,3776038,shorthorn,british isles,europe,bos taurus,23.291724137931034,
71912,BSHUSAM000003993526,M,*x3993526,shorthorn,british isles,europe,bos taurus,24.16,
71920,BSHUSAM000003849877,M,*x3849877,shorthorn,british isles,europe,bos taurus,23.543793103448277,
71924,BSHUSAM000003765085,M,3765085,shorthorn,british isles,europe,bos taurus,24.518275862068965,
71941,BSHUSAM000004081869,M,*x4081869,shorthorn,british isles,europe,bos taurus,26.847241379310343,
71947,BSHUSAM000004005984,M,*x4005984,shorthorn,british isles,europe,bos taurus,26.15103448275862,
71958,BSHUSAM000004113971,M,x4113971,shorthorn,british isles,europe,bos taurus,23.912413793103447,
71978,BSHUSAM000003976595,M,*x3976595,shorthorn,british isles,europe,bos taurus,23.31241379310345,
71985,BSHUSAM000004077120,M,*x4077120,shorthorn,british isles,europe,bos taurus,22.157586206896553,
71992,BSHUSAM000003985389,M,*x3985389,shorthorn,british isles,europe,bos taurus,26.353103448275863,
71997,BSHUSAM000003854677,M,3854677,shorthorn,british isles,europe,bos taurus,24.79758620689655,
72000,BSHUSAM000003934578,M,x3934578,shorthorn,british isles,europe,bos taurus,25.623793103448275,
72071,SIMUSAM000002068996,M,SAMN02941198,simmental,continental europe,europe,bos taurus,11.615862068965518,"Livestock Gentec, University of Alberta"
72124,SIMUSAM000002240471,M,SAMN02941225,simmental,continental europe,europe,bos taurus,13.776896551724137,"Livestock Gentec, University of Alberta"
72546,SIMUSAM000002370545,M,2370545,simmental,continental europe,europe,bos taurus,10.509310344827586,
78648,UMCUSAM000000078648,M,,holstein,continental europe,europe,bos taurus,9.299655172413793,
78757,UMCUSAF000000078757,F,,holstein,continental europe,europe,bos taurus,9.804827586206896,
78773,UMCUSAF000000078773,F,,holstein,continental europe,europe,bos taurus,9.27551724137931,
78827,UMCUSAF000000078827,F,,holstein,continental europe,europe,bos taurus,9.296896551724139,
78836,UMCUSAM000000078836,M,,holstein,continental europe,europe,bos taurus,9.65448275862069,
78853,UMCUSAM000000078853,M,,holstein,continental europe,europe,bos taurus,9.02,
